# ptHfine-aafid        central        num_err    min (scale)        num_err    max (scale)        num_err
# R2
            189   0.0014981492  5.0089634e-05   0.0014901419  4.9860562e-05   0.0015043529  5.0272303e-05
            190   0.0014076693  4.9815941e-05   0.0014008336  4.9591676e-05   0.0014156327  5.0072457e-05
            191   0.0012572452  4.6735218e-05   0.0012514239  4.6536026e-05   0.0012633018  4.6887189e-05
            192   0.0012989926  4.8026807e-05    0.001291062  4.7794087e-05    0.001309306  4.8334157e-05
            193   0.0013141131  4.8174744e-05   0.0013072147  4.7972973e-05   0.0013176265  4.8287149e-05
            194   0.0013210658  4.7951641e-05   0.0013143257  4.7739292e-05   0.0013274488  4.8121986e-05
            195   0.0012653685  4.6148678e-05   0.0012593696  4.5950167e-05   0.0012700476  4.6302729e-05
            196   0.0013010093  4.7409429e-05   0.0012972928  4.7259883e-05   0.0013068839  4.7585688e-05
            197   0.0013296701  4.7050221e-05   0.0013225134  4.6825664e-05    0.001334142  4.7196066e-05
            198   0.0011960219  4.6128322e-05   0.0011900906  4.5944231e-05   0.0012005099  4.6403219e-05
            199    0.001247421  4.7126756e-05   0.0012413905  4.6931828e-05   0.0012506278  4.7243201e-05
            200   0.0011901686  4.5297287e-05   0.0011836327  4.5096495e-05   0.0011936683  4.5440137e-05
            201   0.0012019946  4.4830179e-05   0.0011958142  4.4632574e-05   0.0012065028  4.4981341e-05
            202   0.0011872331  4.5217419e-05   0.0011837987   4.513866e-05   0.0011952879  4.5632792e-05
            203   0.0011697138  4.5201924e-05   0.0011643817  4.5018809e-05   0.0011740917  4.5332579e-05
            204   0.0011935077  4.4428876e-05    0.001184597  4.4361187e-05   0.0011967129  4.4748743e-05
            205   0.0011861638  4.4780453e-05    0.001179547   4.455841e-05   0.0011900178  4.4905562e-05
            206    0.001065769  4.2709765e-05   0.0010608378  4.2535565e-05     0.00106996   4.289451e-05
            207   0.0011223045  4.3527757e-05   0.0011160931  4.3331266e-05   0.0011263028  4.3664728e-05
            208   0.0010453963  4.2410612e-05   0.0010407558  4.2233215e-05   0.0010490825  4.2548498e-05
            209   0.0010364099   4.223426e-05    0.001030674  4.2036906e-05   0.0010397259  4.2352396e-05
            210  0.00099334374  4.2118837e-05  0.00098784934  4.1964166e-05  0.00099688609  4.2215579e-05
            211   0.0010460757  4.2850772e-05   0.0010404743  4.2678009e-05   0.0010496466  4.2949272e-05
            212   0.0010787459  4.3187926e-05    0.001073427  4.3010108e-05   0.0010824199  4.3328982e-05
            213   0.0010178754  4.1808422e-05   0.0010126701   4.164487e-05   0.0010216275  4.1923335e-05
            214   0.0010443644  4.3309508e-05   0.0010385173  4.3118523e-05   0.0010476251  4.3389458e-05
            215  0.00099749474  4.1386818e-05  0.00099352425  4.1228811e-05   0.0010000959  4.1465985e-05
            216   0.0010224101  4.2038142e-05   0.0010163264  4.1823755e-05   0.0010258277  4.2146143e-05
            217   0.0010046418  4.1046666e-05   0.0010005869  4.0902229e-05    0.001008461  4.1164522e-05
            218  0.00098417073  4.0361796e-05  0.00098096733  4.0202917e-05  0.00098833701   4.046616e-05
            219   0.0010052108  4.1233682e-05   0.0010004931  4.1079324e-05   0.0010078618  4.1317514e-05
            220  0.00084949638  3.8845956e-05  0.00084600147  3.8720541e-05  0.00085179717  3.8945463e-05
            221  0.00089988634  3.9642527e-05  0.00089586229  3.9479752e-05  0.00090196624  3.9721469e-05
            222  0.00079165525  3.7367534e-05  0.00078883102  3.7236065e-05  0.00079326268  3.7459405e-05
            223  0.00085586205  3.7743825e-05  0.00085224291  3.7576224e-05   0.0008580607   3.785758e-05
            224   0.0008811762  3.8833754e-05  0.00087702666  3.8662695e-05  0.00088380915   3.895282e-05
            225  0.00088494739  3.8565578e-05  0.00088081316  3.8394901e-05  0.00088789588  3.8640785e-05
            226  0.00078864662  3.6508848e-05  0.00078474999  3.6417076e-05  0.00079117305  3.6614541e-05
            227  0.00083718929  3.9152601e-05   0.0008332525  3.8995452e-05  0.00083974673  3.9254032e-05
